playerid,xMLBAMID,Team,PlayerName,auction_type,fg_auction_dollars
19924,663542,NYM,Bryan Hudson,pit,-5.042552646628881
23779,677865,STL,Justin Bruihl,pit,-5.0592708837269775
24937,681810,NYM,Austin Warren,pit,-5.122234731530439
NA,690155,STL,Matthew Pushard,pit,-5.154038075609236
31972,695418,WSN,Brad Lord,pit,-5.172646682883464
6107,623211,NYM,Huascar Brazoban,pit,-5.202733447541098
29519,700669,STL,Gordon Graceffo,pit,-5.224841189437395
17022,624641,PHI,Edmundo Sosa,bat,-5.340725847027869
29615,679775,PHI,Kyle Backhus,pit,-5.353565258653985
15094,642239,MIL,Rob Zastryzny,pit,-5.3827944660367475
19337,663992,WSN,Richard Lovelady,pit,-5.383091663134484
17381,657424,SFG,Matt Gage,pit,-5.446103957096603
27514,669165,LAD,Kyle Hurt,pit,-5.5211647221504006
26191,669704,ARI,Kade Strowd,pit,-5.547821634686197
29107,699134,SDP,Bradgley Rodriguez,pit,-5.630248836062917
20629,663969,MIA,Tyler Phillips,pit,-5.640435293312918
33826,673513,SDP,Yuki Matsui,pit,-5.669595218195451
21646,665561,PHI,Rafael Marchan,bat,-5.676246859605179
21797,665953,WSN,Andres Chaparro,bat,-5.69102476050707
23429,676664,SDP,JP Sears,pit,-5.698304991566852
17611,664199,ARI,Taylor Clarke,pit,-5.6990722073905165
26108,669467,STL,Andre Pallante,pit,-5.750224309697989
27531,666152,MIL,David Hamilton,bat,-5.828754601643735
NA,694673,WSN,Abimelec Ortiz,bat,-5.8880967282580094
24930,681799,CHC,Ethan Roberts,pit,-5.890338551843295
24995,681895,PIT,Evan Sisk,pit,-5.946575992702116
27775,693312,CIN,Kyle Nicolas,pit,-5.977612120957252
31354,699625,STL,Jimmy Crooks,bat,-5.981877482044278
22051,667463,MIA,John King,pit,-5.998951677903103
17556,623474,COL,Jimmy Herget,pit,-6.002841682142619
23488,676760,SDP,Ron Marinaccio,pit,-6.072676509937242
NA,697811,NYM,Dylan Ross,pit,-6.1503038921541355
21951,666711,SFG,Joel Peguero,pit,-6.161505035589972
30240,690928,STL,Hunter Dobbins,pit,-6.179664444155555
30085,676508,LAD,Ben Casparius,pit,-6.217698631554398
19962,666214,ATL,Joey Wentz,pit,-6.241538334138955
21863,666277,STL,George Soriano,pit,-6.255311665128925
NA,691740,SFG,Daniel Susac,bat,-6.278590667157054
33568,805299,ARI,Brandyn Garcia,pit,-6.359006274243238
30161,692230,MIL,Carlos Rodriguez,pit,-6.365831930501713
NA,675660,MIL,Shane Drohan,pit,-6.380990609796774
27570,669371,WSN,Cole Henry,pit,-6.431954943643139
31363,688363,MIA,Graham Pauley,bat,-6.432705878236427
26440,687473,MIA,Ryan Gusto,pit,-6.4386147868304375
25501,687606,WSN,Paxton Schultz,pit,-6.444127279228435
23237,675848,COL,Juan Mejia,pit,-6.493889875057534
NA,691384,WSN,Luis Perales,pit,-6.499597504263594
33876,695076,CIN,Rhett Lowder,pit,-6.546370905999196
19754,665665,SFG,Reiver Sanmartin,pit,-6.552914196043217
31815,806188,MIA,Cade Gibson,pit,-6.612147346165345
30226,702352,SFG,Spencer Bivens,pit,-6.620110987659577
31701,694918,SFG,Blade Tidwell,pit,-6.736688305597439
26944,683618,LAD,Edgardo Henriquez,pit,-6.762558553837737
31635,806185,SFG,Hayden Birdsong,pit,-6.7654298876315035
17578,664141,SFG,JT Brubaker,pit,-6.776728438532113
20271,678226,ATL,Daysbel Hernandez,pit,-6.786695453520032
27649,683175,CIN,Connor Phillips,pit,-6.846052979111699
26215,671131,WSN,Jackson Rutledge,pit,-6.86375572099635
29542,701552,WSN,Andre Granillo,pit,-6.895903942902089
31500,690022,COL,Ryan Ritter,bat,-6.910444627874477
NA,676046,WSN,Griffin McGarry,pit,-6.941710374417414
30250,677955,COL,Jaden Hill,pit,-6.951968562132715
23426,676661,PHI,Max Lazar,pit,-6.973481909833545
31792,805249,PHI,Otto Kemp,bat,-7.007118440484501
19921,663368,MIL,Blake Perkins,bat,-7.068122143040524
20099,663978,MIA,Chris Paddack,pit,-7.120815974194118
24737,681402,WSN,Gus Varland,pit,-7.158740617006689
25332,682848,PIT,Endy Rodriguez,bat,-7.209832460636299
14874,594580,CIN,Sam Moll,pit,-7.246732955785655
31357,701675,STL,Nathan Church,bat,-7.254857115646564
16930,641680,ATL,Jonah Heim,bat,-7.277113117622218
15653,642086,ATL,Dominic Smith,bat,-7.3115688443579625
27787,694361,LAD,Will Klein,pit,-7.36054473964974
19614,672335,WSN,Cionel Perez,pit,-7.444031752683603
27636,680730,WSN,Mitchell Parker,pit,-7.45214381938346
NA,685112,PHI,Zachary McCambley,pit,-7.491910386213524
31991,804668,PIT,Rafael Flores,bat,-7.504408298438275
NA,687273,STL,Quinn Mathews,pit,-7.529894189200148
NA,683679,SFG,Jesus Rodriguez,bat,-7.709447477278678
29628,689690,SDP,Alek Jacob,pit,-7.719725770062404
25714,688760,COL,Blaine Crim,bat,-7.740304172721318
31261,688297,STL,Chris Roycroft,pit,-7.782440866926786
18413,664353,PIT,Jose Urquidy,pit,-7.876722240073057
29914,674841,WSN,Andrew Alvarez,pit,-7.882406166229506
9803,571945,WSN,Miles Mikolas,pit,-7.895471441569855
21780,665923,MIA,Esteury Ruiz,bat,-7.914573188274323
28253,691594,MIA,Javier Sanoja,bat,-7.942361199742585
27577,669477,SFG,Casey Schmitt,bat,-8.006721553219052
21544,663767,PHI,Chase Shugart,pit,-8.02833706701967
23691,677588,WSN,Jose Tena,bat,-8.051487563867157
6902,527048,ATL,Martin Perez,pit,-8.075596287491257
12808,605182,PIT,Mike Clevinger,pit,-8.091176539353595
NA,684049,PIT,Brandan Bidois,pit,-8.101169338633824
26467,682641,SFG,Luis Matos,bat,-8.128314748377546
18217,664954,COL,Brett Sullivan,bat,-8.145268452064128
16835,657514,COL,Brennan Bernardino,pit,-8.223241961089876
NA,696275,COL,Robert Petit,pit,-8.253560707549745
27883,695336,STL,Thomas Saggese,bat,-8.299317917813847
19795,624522,COL,Keegan Thompson,pit,-8.315137819178371
NA,814439,ARI,Ryan Waldschmidt,bat,-8.374909741481664
19864,656180,WSN,Riley Adams,bat,-8.447435019637357
NA,691725,PHI,Andrew Painter,pit,-8.45193271747893
17273,622761,ATL,Jorge Mateo,bat,-8.570444073248014
33252,691720,COL,Kyle Karros,bat,-8.586672943568548
19346,642201,ATL,Eli White,bat,-8.587861314244039
11850,592122,CHC,Tyler Austin,bat,-8.740814418553475
18067,596117,PHI,Garrett Stubbs,bat,-8.755204521614838
27770,691728,COL,Zac Veen,bat,-8.812438691021088
21504,663623,WSN,Jake Irvin,pit,-8.820462737690919
22217,669134,SDP,Luis Campusano,bat,-8.865874394118944
NA,809707,COL,Charles Condon,bat,-8.91309293653382
15674,624512,MIL,Reese McGuire,bat,-8.957525896416229
14111,606992,SFG,Eric Haase,bat,-8.957525896416229
29514,689981,LAD,River Ryan,pit,-9.035808628264661
19296,669743,LAD,Alex Call,bat,-9.055688793939604
21746,665877,STL,Jose Fermin,bat,-9.076684842081432
NA,660710,SDP,Rodolfo Durán,bat,-9.115004165764944
NA,691620,MIL,Jeferson Quero,bat,-9.115004165764944
23790,677943,CIN,Will Banfield,bat,-9.115004165764944
