Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,xMLBAMID,playerids,playerid,fg_auction_dollars
LAD,Dodgers,9,7,24,42,0,1,NA,143,594,121,67,63,20,162,50,NA,6,3.96427,1.19896,10.2245,3.15822,3.23744,1.29034,0.272692,0.0842306,0.18846119940280914,NA,0.224859,0.282772,0.727583,3.91074,657.6,4.5986013986013985,615,4.300699300699301,2.29728,1.98554,11,120.44000244140625,22,NL,Emmet Sheehan,686218,29839,29839,10.779623614564525
TBR,Rays,11,11,31,31,0,0,NA,169,707,148,82,76,24,173,61,NA,8,4.05111,1.23149,9.21044,3.22596,2.8551,1.2988,0.244738,0.0857195,0.15901806950569153,NA,0.231333,0.279606,0.726551,4.18713,709.6000000000001,4.198816568047338,672,3.9763313609467454,2.29151,2.25648,16,132.3300018310547,12,AL,Ryan Pepiot,686752,26221,26221,NA
NYM,Mets,9,8,29,29,0,0,NA,163,705,157,76,70,16,146,64,NA,8,3.85162,1.35045,8.07781,3.51966,2.29505,0.860979,0.20754,0.0904292,0.11711066961288452,NA,0.246789,0.298424,0.726741,3.89532,677.2,4.154601226993865,683,4.190184049079755,2.27256,2.36233,16,487.260009765625,25,NL,David Peterson,656849,20302,20302,2.984248852897024
MIA,Marlins,8,9,28,28,0,0,NA,135,561,117,65,61,19,145,46,NA,4,4.04028,1.20564,9.65026,3.09152,3.12152,1.25957,0.258566,0.0828333,0.17573264986276627,NA,0.228559,0.282119,0.717315,3.93455,601.0999999999999,4.452592592592592,568,4.207407407407407,2.25557,2.07683,14,83.80999755859375,20,NL,Eury Pérez,691587,27768,27768,7.520143223430118
SDP,Padres,9,9,28,28,0,0,NA,158,665,150,73,68,20,145,41,NA,13,3.89021,1.2147,8.28125,2.34545,3.53077,1.15834,0.218077,0.0617648,0.15631239861249924,NA,0.245986,0.291677,0.723504,3.99009,661.2,4.184810126582279,658,4.1645569620253164,2.25287,2.38664,15,218.3699951171875,29,NL,Joe Musgrove,605397,12970,12970,9.930550482155159
TBR,Rays,7,8,23,37,0,1,NA,138,585,137,65,60,17,122,37,NA,5,3.94637,1.26876,7.98775,2.447,3.26431,1.14201,0.209287,0.0641137,0.14517315477132797,NA,0.253328,0.29787,0.729976,3.92653,577.9000000000001,4.187681159420291,591,4.282608695652174,2.23591,1.87364,11,731.77001953125,12,AL,Steven Matz,571927,13361,13361,NA
LAA,Angels,9,9,24,34,0,1,NA,145,613,129,71,66,19,159,53,NA,7,4.07668,1.25348,9.8453,3.27315,3.0079,1.16608,0.258713,0.0860114,0.17270202189683914,NA,0.233178,0.293247,0.714612,3.86874,645.9,4.454482758620689,620,4.275862068965517,2.18326,1.84338,11,320.3299865722656,1,AL,Reid Detmers,672282,27468,27468,NA
PHI,Phillies,7,3,0,70,29,3,NA,70,285,55,23,21,4,84,22,NA,4,2.67149,1.09864,10.8311,2.83541,3.81993,0.534399,0.296004,0.0774894,0.21851488202810287,NA,0.211931,0.297471,0.756835,2.60488,572.8,8.182857142857141,545,7.785714285714286,2.14244,2.28675,0,40.209999084472656,26,NL,Jhoan Duran,661395,21029,21029,19.311354972170744
KCR,Royals,10,11,29,29,0,0,NA,164,696,165,84,79,22,128,48,NA,5,4.30871,1.29797,7.01379,2.64284,2.65389,1.23079,0.18401699999999999,0.0693385,0.1146780252456665,NA,0.256783,0.289662,0.709261,4.32587,611,3.725609756097561,631,3.847560975609756,2.14223,1.99102,14,674.78997802734375,7,AL,Michael Wacha,608379,14078,14078,NA
MIN,Twins,8,9,28,28,0,0,NA,155,648,153,80,74,25,140,37,NA,6,4.31537,1.2228,8.11714,2.12842,3.8137,1.47614,0.215544,0.0565185,0.15902571752667427,NA,0.25217,0.288994,0.712737,4.28258,592.7,3.823870967741936,601,3.8774193548387097,2.13316,1.60117,14,301,8,AL,Bailey Ober,641927,21224,21224,NA
