billikenTeam,slot,player,team,2021eligibility,contract,salary
Erie Lakers,Util,Daylen Lile,NA,NA,,
Erie Lakers,Bench,NA,NA,NA,,
Erie Lakers,Bench,Jake McCarthy,NA,NA,,
Erie Lakers,IL,"Lourdes Gurriel, Jr.",NA,NA,,
Erie Lakers,IL,Austin Riley,NA,NA,,
Erie Lakers,NA,NA,NA,NA,,
Erie Lakers,P,Andrew Alvarez,NA,NA,,
Erie Lakers,P,Nabil Crismatt,NA,NA,,
Erie Lakers,P,Sonny Gray,NA,NA,,
Erie Lakers,P,Clayton Kershaw,NA,NA,,
Erie Lakers,P,Ryne Nelson,NA,NA,,
Erie Lakers,P,Tony Santillan,NA,NA,,
Erie Lakers,P,Brady Singer,NA,NA,,
Erie Lakers,P,Ranger Suarez,NA,NA,,
Erie Lakers,P,Randy Vasquez,NA,NA,,
Erie Lakers,IL,Justin Martinez,NA,NA,,
Erie Lakers,IL,Trevor Megill,NA,NA,,
Erie Lakers,IL,Justin Steele,NA,NA,,
Erie Lakers,NA,NA,NA,NA,,
Erie Lakers,Big Red Machine,NA,NA,NA,,
Big Red Machine,SLOT,PLAYER,TEAM,2021 ELIGIBILITY,,
Big Red Machine,C,Sean Murphy,NA,NA,,
Big Red Machine,C,Pedro Pages,NA,NA,,
Big Red Machine,1B,Michael Busch,NA,NA,,
Big Red Machine,2B,Ketel Marte,NA,NA,,
Big Red Machine,3B,Joey Ortiz,NA,NA,,
Big Red Machine,SS,Dansby Swanson,NA,NA,,
Big Red Machine,2B/SS,Caleb Durbin,NA,NA,,
Big Red Machine,1B/3B,Edmundo Sosa,NA,NA,,
Big Red Machine,OF,Owen Caissie,NA,NA,,
Big Red Machine,OF,Michael Conforto,NA,NA,,
Big Red Machine,OF,Pavin Smith,NA,NA,,
Big Red Machine,OF,Kyle Stowers,NA,NA,,
Big Red Machine,OF,"Fernando Tatis, Jr.",NA,NA,,
Big Red Machine,Util,Otto Lopez,NA,NA,,
Big Red Machine,Bench,Marcel Ozuna,NA,NA,,
Big Red Machine,NA,NA,NA,NA,,
Big Red Machine,P,Sandy Alcantara,NA,NA,,
Big Red Machine,P,Braxton Ashcraft,NA,NA,,
Big Red Machine,P,Bubba Chandler,NA,NA,,
Big Red Machine,P,Cade Horton,NA,NA,,
Big Red Machine,P,Brad Keller,NA,NA,,
Big Red Machine,P,Michael King,NA,NA,,
Big Red Machine,P,Robert Suarez,NA,NA,,
Big Red Machine,P,Ryan Walker,NA,NA,,
Big Red Machine,P,Ryan Weathers,NA,NA,,
Big Red Machine,IL,NA,NA,NA,,
Big Red Machine,IL,Zach Agnos,NA,NA,,
Big Red Machine,IL,Tony Gonsolin,NA,NA,,
Big Red Machine,IL,Grant Holmes,NA,NA,,
Big Red Machine,NA,NA,NA,NA,,
Big Red Machine,National Pastime,NA,NA,NA,,
National Pastime,SLOT,PLAYER,TEAM,2021 ELIGIBILITY,,
National Pastime,C,Ivan Herrera,NA,NA,,
National Pastime,C,Tyler Stephenson,NA,NA,,
National Pastime,1B,Michael Toglia,NA,NA,,
National Pastime,2B,Brice Turang,NA,NA,,
National Pastime,3B,Mark Vientos,NA,NA,,
National Pastime,SS,Francisco Lindor,NA,NA,,
National Pastime,2B/SS,Willy Adames,NA,NA,,
National Pastime,1B/3B,Casey Schmitt,NA,NA,,
National Pastime,OF,Alec Burleson,NA,NA,,
National Pastime,OF,NA,NA,NA,,
National Pastime,OF,Brendan Donovan,NA,NA,,
