Player,Salary,Billiken Team
Dylan Lee,1,#N/A
Andre Pallante,1,#N/A
JR Ritchie,1,#N/A
Abimelec Ortiz,1,#N/A
Adrian Houser,1,#N/A
Jhostynxon Garcia,1,#N/A
Chase Dollander,1,#N/A
Jose Butto,1,#N/A
Grant Holmes,1,#N/A
Joshua Baez,1,#N/A
Luis Torrens,1,FREE AT LAST
Foster Griffin,1,#N/A
Michael McGreevy,1,#N/A
Hunter Dobbins,1,#N/A
Enrique Hernandez,1,#N/A
Jared Koenig,1,#N/A
A.J. Minter,1,#N/A
JP Sears,1,#N/A
Ramon Urias,1,#N/A
Alex Vesia,1,#N/A
Colin Rea,1,FREE AT LAST
Graham Pauley,1,#N/A
Rhett Lowder,1,#N/A
Alex Freeland,1,#N/A
Bryce Elder,1,#N/A
Otto Kemp,1,#N/A
German Marquez,1,#N/A
Kevin Alcantara,1,#N/A
Hunter Barco,1,#N/A
Gordon Graceffo,1,#N/A
David Hamilton,1,#N/A
Pedro Pages,1,#N/A
Mike Tauchman,1,#N/A
Jose Trevino,1,#N/A
Ryan Ritter,1,#N/A
Bobby Miller,1,#N/A
Quinn Matthews,1,#N/A
Adrian Del Castillo,1,#N/A
Kemp Alderman,1,#N/A
Eduardo Rodriguez,1,#N/A
Brad Lord,1,#N/A
Kyle Leahy,1,#N/A
MJ Melendez,1,#N/A
Hyeseong Kim,1,FREE AT LAST
Jose Fermin,1,#N/A
Nathaniel Lowe,1,#N/A
Sung Mun Song,1,#N/A
Jose Alvarado,1,#N/A
Ha-Seong Kim,1,#N/A
Aidan Miller,1,MELONHEADS
Adrian Morejon,1,#N/A
Chris Paddack,1,#N/A
Christian Scott,1,#N/A
Ryan Thompson,1,#N/A
Caleb Thielbar,1,#N/A
Carmen Mlodzinski,1,#N/A
Heriberto Hernandez,1,#N/A
Kyle Harrison,1,#N/A
Jake Bauers,1,#N/A
Lucas Giolito,1,#N/A
Edmundo Sosa,1,#N/A
Griffin Connie,1,#N/A
