Name,billikenTeam,Team,PA,AB,H,HR,R,RBI,SB,AVG,IP,WH,ER,W,SV,SO,ERA,WHIP,points_impact,points_pred_impact
Scott Barlow,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,49,67.13000000000001,23,3,1,54,4.27,1.37,0,0
Keaton Winn,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,46,56.12,18,2,0,44,3.53,1.22,0,0
Caleb Thielbar,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,44,57.64,18,3,0,47,3.81,1.31,0,0
Randy Rodriguez,Hoosiers,SFG,NA,NA,NA,NA,NA,NA,NA,NA,50,66,21,3,1,52,3.79,1.32,0,0
Randy Rodriguez,Blue Socks,SFG,NA,NA,NA,NA,NA,NA,NA,NA,50,66,21,3,1,52,3.79,1.32,0,0
Riley O'Brien,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,45,60.75000000000001,18,2,0,46,3.64,1.35,0,0
Brandon Sproat,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,16,22.08,7,1,0,13,4.24,1.38,0,0
Connor Gillispie,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,66,93.05999999999999,35,3,0,54,4.75,1.41,0,0
Ronny Henriquez,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,51,70.38,24,2,2,45,4.17,1.38,0,0
Emilio Pagan,Louisville Sluggers,CIN,NA,NA,NA,NA,NA,NA,NA,NA,55,69.85,28,3,10,56,4.63,1.27,0,0
Calvin Faucher,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,54,77.75999999999999,25,3,13,55,4.14,1.44,0,0
