Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Luis Guillorme","HOU",1,6,5,1,1,0,0,0,1,0,1,0,1,0,0,0,,0,0,0.250051,0.114196,0.195359,0.584544,0.339441,0.338405,0.307032,0.677846,0.0883543,4.54272,0.311131,-0.00554217,-0.00629521,0.663062,-0.0216471,102.643,-0.0118374,-0.0798072,0.005459110252559185,-0.01591832935810089,0.0201517,999,,,,,,,3.6,3.6,3.6,3.6,,,,,,,,,,,,,,,,,,,"Luis Guillorme","16451",641645
"Hayden Senger","NYM",3,11,10,2,1,0,0,0,1,1,1,0,4,0,0,0,,0,0,0.196874,0.063529,0.326402,0.194634,0.262199,0.289815,0.251242,0.552014,0.0929407,3.76122,0.289564,-0.00277181,-0.018091,0.72865,-0.514316,60.273,-0.0208628,0.021661,-0.5357041638344526,0.2330807652324438,0.0198003,999,,,,,,,4.2,1.4,4.2,1.4,,,,,,,,,,,,,,,,,,,"Hayden Senger","21489",663584
"Liover Peguero","PIT",3,12,11,3,2,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.237473,0.0621978,0.231562,0.268601,0.287938,0.361887,0.288597,0.649824,0.124413,4.96713,0.293796,0.000595652,0.0015295,1.14483,-0.214664,78.8338,0.00212515,-0.0309739,-0.2978939968161285,0.09587794169783592,0.0187649,999,,,,,,,11.7,3.9,11.7,3.9,,,,,,,,,,,,,,,,,,,"Liover Peguero","24273",678894
"Zack Short","HOU",1,6,5,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.196056,0.133296,0.296248,0.449948,0.308604,0.329601,0.29172,0.638205,0.133545,4.20652,0.264827,-0.00394286,-0.0027289,0.591244,-0.0934647,91.6684,-0.00667176,0.0129551,-0.0611928659491241,0.03425139840692282,0.0184301,999,,,,,,,3.6,3.6,3.6,3.6,,,,,,,,,,,,,,,,,,,"Zack Short","19562",670097
"Matt Koperniak","STL",7,30,27,7,5,1,0,1,3,3,2,0,6,0,0,0,,0,0,0.243709,0.0681008,0.202055,0.337042,0.300453,0.36544,0.29701,0.665894,0.121732,3.95127,0.287086,-0.00925676,-0.0385815,3.05795,-0.340787,88.3367,-0.0478382,0,-0.46114081889390945,-0.31712964177131653,0.0183727,999,,,,,,,30.5,4.357142857,30.5,4.357142857,,,,,,,,,,,,,,,,,,,"Matt Koperniak","sa3014834",689288
"Niko Kavadas","LAA",4,18,15,3,2,1,0,1,2,2,2,0,7,0,0,0,,0,0,0.194783,0.1205,0.392832,0.306747,0.303614,0.36526,0.301531,0.668874,0.170476,2.61534,0.299576,-0.0069616,-0.0313213,1.92563,-0.143379,95.3053,-0.0382829,0.0139232,-0.13111570850014687,-0.30783604830503464,0.018345,750.9099731445312,,,,,,,20.1,5.025,20.1,5.025,,,,,,,,,,,,,,,,,,,"Niko Kavadas","29782",694359
"Dom Nuñez","CLE",3,11,10,2,1,0,0,0,1,1,1,0,4,0,0,0,,0,0,0.17865,0.108,0.323428,0.333923,0.273765,0.291975,0.26047,0.56574,0.113325,3.57202,0.253517,-0.0024,-0.0146765,0.813114,-0.438925,68.961,-0.0170765,-0.0208,-0.38848748803138733,0.19216297008097172,0.0179222,999,,,,,,,4.2,1.4,4.2,1.4,,,,,,,,,,,,,,,,,,,"Dom Nunez","15055",624513
"Matthew Lugo","LAA",10,42,38,8,5,2,0,1,4,4,3,0,13,0,0,0,,1,0,0.215972,0.0683007,0.301078,0.226854,0.276791,0.361689,0.283542,0.63848,0.145717,4.96281,0.287465,-0.00276945,-0.00628706,3.89824,-0.929452,82.4116,-0.00905651,0,-0.8205677280202508,-0.4504629373550415,0.0170253,742.4299926757812,,,,,,,32.9,3.29,32.9,3.29,,,,,,,,,,,,,,,,,,,"Matthew Lugo","sa1169598",683090
"Cooper Hummel","NYY",3,12,10,2,1,0,0,0,1,1,2,0,3,0,0,0,,0,0,0.208921,0.130398,0.286909,0.454492,0.321202,0.335012,0.299457,0.656215,0.126092,4.91801,0.287606,-0.00518378,-0.00439637,1.24597,-0.113524,95.6259,-0.00958015,-0.0510973,-0.06641254480928183,-0.17794915288686752,0.0166564,999,,,,,,,7.2,2.4,7.2,2.4,,,,,,,,,,,,,,,,,,,"Cooper Hummel","19458",669450
"Marco Luciano","SFG",3,12,10,2,2,0,0,0,1,1,1,0,4,0,0,0,,0,0,0.219523,0.103401,0.303829,0.340326,0.303611,0.345819,0.29291,0.649431,0.126296,3.87675,0.30473,0.00320093,-0.0171718,1.185,-0.174496,86.1324,-0.0139709,0.0281682,-0.2105358960106969,-0.014115730300545692,0.0164005,732.5900268554688,,,,,,,4.2,1.4,4.2,1.4,,,,,,,,,,,,,,,,,,,"Marco Luciano","25616",682617
