Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Victor Caratini","HOU",65,257,227,54,38,9,0,7,26,30,23,1,54,4,2,1,,1,1,0.238292,0.0893276,0.210998,0.423358,0.316723,0.366134,0.300106,0.682857,0.127842,2.49905,0.282137,-0.442808,-0.577143,27.4359,-3.9024,89.91,-1.01995,0.235441,-4.1294907331466675,4.735440596938133,1.17008,555.52001953125,,,,"14968"
"Joc Pederson","ARI",107,462,400,101,61,18,3,19,60,60,50,4,104,8,4,1,,1,1,0.25188,0.107514,0.225329,0.477144,0.342951,0.451481,0.340841,0.794432,0.199602,3.79226,0.29229,-0.0731429,-1.00353,64.9122,8.62014,113.401,-1.07668,-0.597166,6.593526363372803,-10.6471666097641,1.16538,423.8999938964844,,,,"11899"
"Seth Brown","OAK",117,504,457,106,59,24,2,22,58,68,41,2,138,3,3,0,,5,2,0.232407,0.0813857,0.273209,0.297888,0.298092,0.436645,0.313856,0.734737,0.204238,4.14822,0.280993,-0.595819,-0.45617,59.5181,-1.89139,103.226,-1.05199,-0.603615,0.8963689804077148,-6.503615438938141,1.14783,482.1600036621094,,,,"18171"
"Jason Heyward","LAD",91,392,351,87,56,19,1,12,47,47,34,1,75,4,2,1,,3,1,0.248947,0.0864479,0.190267,0.45435,0.320229,0.411148,0.317618,0.731378,0.162201,3.60542,0.282588,0.0652028,-0.559815,47.5167,-0.24623,100.438,-0.494612,2.11008,-0.2817900776863098,-1.7899229526519775,1.1252,552.010009765625,,,,"4940"
"Nick Allen","OAK",87,378,342,82,60,16,2,5,39,33,26,0,64,2,2,5,,9,3,0.241302,0.0697924,0.168841,0.413362,0.298624,0.339994,0.282309,0.638618,0.098692,5.09435,0.281821,0.037183,-0.0390362,34.735,-11.3222,81.3603,-0.0018532,2.78638,-8.444193097646348,6.736377000808716,1.10993,725.5999755859375,,,,"22277"
"Salvador Perez","KCR",139,565,527,137,86,24,1,26,64,85,23,4,136,10,5,0,,0,1,0.259464,0.0405205,0.240177,0.168711,0.300498,0.456578,0.320335,0.757076,0.197114,2.06018,0.299074,-1.35322,-1.10262,69.7372,0.919604,98.8954,-2.45584,-2.87089,-3.203369140625,1.079110860824585,1.08993,132.4499969482422,,,,"7304"
"Victor Robles","WSN",105,455,401,98,66,21,2,8,52,43,32,1,102,13,3,6,,17,5,0.244911,0.0709062,0.223667,0.317018,0.318924,0.371975,0.304416,0.690899,0.127064,6.08646,0.305961,0.0742627,0.44177,50.1644,-5.27467,88.8231,0.516033,-0.455366,-5.784105896949768,1.16963392496109,1.08568,558.530029296875,,,,"18363"
"Gio Urshela","DET",76,329,303,84,60,16,2,7,35,36,19,1,59,2,3,1,,2,1,0.277252,0.0591113,0.17808,0.331936,0.321993,0.409605,0.316335,0.731598,0.132353,3.56637,0.32038,-0.516694,-0.611815,39.5295,-0.557279,100.015,-1.12851,-0.44,-1.122578768990934,0.8349999785423279,1.0856,497.1600036621094,,,,"10681"
"Jared Triolo","PIT",113,490,432,107,75,24,2,6,56,46,49,0,123,4,3,2,,11,3,0.247254,0.100622,0.250329,0.401959,0.327616,0.353319,0.303089,0.680934,0.106065,5.04467,0.329593,0,-0.14716,53.483,-6.2206,86.9247,-0.14716,1.97455,-8.084359586238861,2.27454537153244,1.08539,528.030029296875,,,,"25807"
"Bryan De La Cruz","MIA",134,581,533,141,93,29,1,18,65,71,39,0,132,3,4,2,,4,2,0.265313,0.0674342,0.227156,0.296863,0.316542,0.426531,0.320704,0.743073,0.161218,3.19786,0.317897,-0.250887,-1.03212,71.9152,1.12373,99.6779,-1.28301,-1.68893,-1.514843687415123,-7.413925647735596,1.08354,279.8399963378906,,,,"19600"
"Javier Báez","DET",126,546,507,121,80,22,3,15,60,63,25,1,138,8,4,1,,10,3,0.238312,0.0465807,0.253551,0.183713,0.283883,0.387173,0.289788,0.671057,0.148861,5.34095,0.2954,0.430155,0.000877146,53.564,-12.9629,81.6144,0.431032,-2.1103,-11.597218573093414,3.7396998405456543,1.06569,395.69000244140625,,,,"12979"
"Luke Raley","SEA",89,385,339,79,48,14,1,15,48,49,27,0,120,15,2,1,,9,3,0.231896,0.0711417,0.31104,0.228722,0.315124,0.413548,0.318056,0.728672,0.181652,5.18311,0.307251,0.156872,0.00835504,46.808,-0.101973,105.78,0.165227,-0.217403,2.8316038101911545,-5.34240260720253,1.05357,344.1300048828125,,,,"19354"
"Kyle Manzardo","CLE",84,364,315,77,45,19,1,13,47,46,39,1,76,4,5,1,,1,1,0.245659,0.108254,0.208597,0.518964,0.331743,0.433583,0.330582,0.765326,0.187924,2.7518,0.27906,0,-0.847205,48.0417,3.6904,112.288,-0.847205,0.629242,4.51233696937561,-6.420758128166199,1.04251,385.30999755859375,,,,"sa3017342"
"Joey Ortiz","MIL",75,322,295,75,49,17,2,7,38,37,21,0,66,3,2,1,,4,2,0.254282,0.065433,0.205422,0.318529,0.308013,0.393403,0.304683,0.701415,0.13912,4.94868,0.304939,0.0532245,-0.348418,35.5723,-3.66153,89.1605,-0.295194,2.63626,-4.619171351194382,4.036256670951843,1.03584,445.3500061035156,,,,"25493"
"Ramón Urías","BAL",63,273,245,62,42,13,1,6,30,30,21,0,67,4,1,1,,2,1,0.251646,0.0760664,0.244771,0.310766,0.319684,0.389585,0.310853,0.709269,0.137939,3.4255,0.31885,0.0523206,-0.509721,31.5582,-1.70529,98.8059,-0.4574,0.91435,-0.8480057418346405,1.8893495798110962,1.02845,686.1400146484375,,,,"18795"
"Chris Taylor","LAD",87,378,331,76,46,17,2,11,46,44,39,2,120,4,2,1,,10,2,0.228461,0.10312,0.317655,0.324629,0.316006,0.390146,0.30834,0.706152,0.161685,5.41478,0.318624,0.0984445,0.372838,42.9069,-3.15015,94.2183,0.471282,0.555356,-2.2362127900123596,-0.34464406967163086,1.02686,383.75,,,,"13757"
"Tyrone Taylor","NYM",81,350,320,75,44,17,2,13,44,46,20,0,82,6,2,1,,8,2,0.235341,0.0562163,0.235328,0.238885,0.290831,0.42283,0.306755,0.713661,0.187489,5.8541,0.27362,0.252143,0.271847,39.2678,-3.37771,95.3344,0.52399,3.38259,-1.4990090131759644,-0.16740989685058594,1.02292,600.8800048828125,,,,"13675"
