team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
BIG RED MACHINE,23,209,9.819982204225825,7559,6704,1691,261,951,936,136,0.25223747016706444,1196,70,54,1111,525.3241511111112,1508.6747100000002,3.9531081605351175,1.261433704013378,9,8,8,4,4,6,7,4,4,4,33,25,58,6,21
FREE BIRDS,23,243,9.228429266984078,7271,6438,1612,244,885,889,124,0.2503883193538366,1376,84,0,1353,619.6619400000002,1726.31195,4.053021409883722,1.2545871729651163,5,2,1,2,3,10,1,9,2,5,13,27,40,7,21
FREE AT LAST,23,243,8.370217656624089,7634,6709,1658,240,947,901,163,0.2471307199284543,1106,68,24,1036,486.4583544444445,1402.7115199999998,3.958521871609404,1.2682744303797466,4,7,2,7,1,4,4,2,3,3,21,16,37,8,21
ERIE LAKERS,23,197,8.157286535593917,7330,6530,1716,244,919,915,117,0.26278713629402756,987,56,50,899,463.89383333333336,1314.61069,4.230034954407294,1.3319257244174265,5,3,5,1,10,3,6,1,1,1,24,12,36,9,21
WESTSIDE MARAUDERS,23,268,11.051551375429936,7582,6728,1714,275,980,946,142,0.254756242568371,1347,83,32,1325,581.2539099999999,1643.107646,3.8836564142538967,1.2198275025983667,10,8,8,4,6,10,3,10,8,9,36,40,76,1,22
NATIONAL PASTIME,23,267,10.557015389857273,7443,6668,1679,258,903,912,145,0.2517996400719856,1208,76,84,1198,503.2794122222222,1458.75668,3.74959826986755,1.2075800331125828,7,2,5,5,4,8,10,8,10,10,23,46,69,2,22
HOOSIERS,23,231,10.186322920793359,7755,6886,1725,259,993,955,225,0.2505082776648272,1194,75,2,1132,508.9426211111111,1492.7186600000002,3.8362509128978224,1.2501831323283084,8,10,10,10,2,7,1,4,9,7,40,28,68,3,22
BLUE SOCKS,23,264,10.4284970177537,7960,7171,1842,246,963,954,180,0.25686794031515825,1151,72,56,1124,499.1789177777778,1413.42056,3.9032235099913124,1.2279935360556038,4,7,9,9,7,4,9,3,7,8,36,31,67,4,22
LOUISVILLE SLUGGERS,23,199,10.628619936661583,7618,6852,1784,257,984,945,176,0.2603619381202569,1187,71,36,1177,525.0714611111111,1501.63791,3.981165248525695,1.265069848357203,6,9,7,8,8,3,5,7,2,2,38,19,57,5,22
MELONHEADS,23,214,9.850382116539862,7409,6592,1666,247,927,912,160,0.25273058252427183,1212,74,52,1156,527.8125733333334,1523.9314400000003,3.9194002970297035,1.257369174917492,5,4,5,7,5,6,7,6,6,4,26,29,55,6,22
