Name,Team,player_type,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp
Owen Caissie,MIA,hitter,413,365,88,13,48,48,4,0.24044,NA,NA,NA,NA,NA,NA,0.16502362261964065,0.15630745583060557,0.270251387750532,0.03300215434405244,-0.004376570460133758,0.6202080500846969,0,0,0,0,0,0,0.6202080500846969,0,0,0,0,0,1,0,0,1,0,0
Max Meyer,MIA,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,137,8,0,123,4.23936,1.32139,0,0,0,0,0,0,0.19623929172787807,0,0.3394292644243436,0.04476055187167219,0.029025967619779842,0.6094550756436736,0.6094550756436736,0,0,0,0,0,0,0,0,0,1,0
Roki Sasaki,LAD,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,123,7,0,129,4.1604,1.28603,0,0,0,0,0,0,0.1717093802618933,0,0.35598678951821405,0.04452149372747743,0.037192177083802194,0.6094098405913869,0.6094098405913869,0,0,0,0,0,0,0,0,0,1,0
Miguel Andujar,SDP,hitter,371,345,95,10,40,45,2,0.273942,NA,NA,NA,NA,NA,NA,0.1375196855163672,0.12023650448508119,0.2533606760161237,0.01650107717202622,0.08139629877553385,0.6090142419651322,0,0,0,0,0,0,0.6090142419651322,0,0,0,1,0,1,1,0,1,0,0
Michael McGreevy,STL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,144,9,0,100,3.98332,1.27406,0,0,0,0,0,0,0.22076920319386284,0,0.275958751564507,0.0635045032277853,0.047953972350165894,0.608186430336321,0.608186430336321,0,0,0,0,0,0,0,0,0,1,0
Spencer Steer,CIN,hitter,378,334,79,13,44,47,6,0.236292,NA,NA,NA,NA,NA,NA,0.1512716540680039,0.15630745583060557,0.26462115050572926,0.04950323151607866,-0.014257352345922047,0.6074461395744953,0,0,0,0,0,0,0.6074461395744953,0,1,0,0,0,1,1,0,1,0,0
Edouard Julien,COL,hitter,434,369,92,11,50,43,5,0.249262,NA,NA,NA,NA,NA,NA,0.171899606895459,0.1322601549335893,0.24210020152651823,0.041252692930065546,0.019665510682056,0.607178166967688,0,0,0,0,0,0,0.607178166967688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landen Roupp,SFG,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,128,8,0,120,3.94912,1.34065,0,0,0,0,0,0,0.19623929172787807,0,0.3311505018774084,0.058402400766618554,0.02080905007974344,0.6066012444516484,0.6066012444516484,0,0,0,0,0,0,0,0,0,1,1
Tyler Mahle,SFG,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,137,8,0,113,4.05547,1.28864,0,0,0,0,0,0,0.19623929172787807,0,0.3118333892678929,0.05600548347014721,0.040510200979409786,0.604588365445328,0.604588365445328,0,0,0,0,0,0,0,0,0,1,0
Cade Horton,CHC,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,127,8,0,111,4.1235,1.25214,0,0,0,0,0,0,0.19623929172787807,0,0.30631421423660277,0.048061089704631466,0.04941822414045236,0.6000328198095646,0.6000328198095646,0,0,0,0,0,0,0,0,0,1,0
Braxton Garrett,MIA,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,129,7,0,112,3.88509,1.23554,0,0,0,0,0,0,0.1717093802618933,0,0.30907380175224786,0.06254548456009235,0.05567756654101307,0.5990062331152466,0.5990062331152466,0,0,0,0,0,0,0,0,0,1,0
