Name,Team,billikenTeam,contract,salary,point_value,repl,par,ev,surplus,PA,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,keepingTeam,pick
Kyle Leahy,STL,NA,NA,NA,1,1.6,-0.6000000000000001,3.3,NA,NA,NA,NA,NA,NA,NA,132,6,0,108,4.19,1.35,0,0,0,0,0,0,0,0,NA,140
Kyle Harrison,MIL,NA,NA,NA,1,1.6,-0.6000000000000001,3.3,NA,NA,NA,NA,NA,NA,NA,89,5,0,89,4.25,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,141
Corbin Burnes,ARI,Hoosiers,2,27,1,1.6,-0.6000000000000001,3.3,-23.7,NA,NA,NA,NA,NA,NA,39,3,0,37,3.51,1.21,0,0,0,0,0,0,0,0,NA,142
JP Sears,SDP,NA,NA,NA,1,1.6,-0.6000000000000001,3.3,NA,NA,NA,NA,NA,NA,NA,128,7,0,110,4.67,1.27,0,0,0,0,0,0,0,0,NA,143
Tony Santillan,CIN,Erie Lakers,2,1,1,1.6,-0.6000000000000001,3.3,2.3,NA,NA,NA,NA,NA,NA,70,3,4,73,4.27,1.34,0,0,0,0,0,0,0,0,NA,144
Tyler Kinley,ATL,NA,NA,NA,1,1.6,-0.6000000000000001,3.3,NA,NA,NA,NA,NA,NA,NA,63,4,0,70,4.02,1.29,0,0,0,0,0,0,0,0,NA,145
Tanner Banks,PHI,NA,NA,NA,1,1.6,-0.6000000000000001,3.3,NA,NA,NA,NA,NA,NA,NA,62,3,0,58,3.85,1.23,0,0,0,0,0,0,0,0,NA,146
Ryan Thompson,ARI,NA,NA,NA,1,1.6,-0.6000000000000001,3.3,NA,NA,NA,NA,NA,NA,NA,64,4,1,52,3.81,1.3,0,0,0,0,0,0,0,0,NA,147
Jose Butto,SFG,NA,NA,NA,1,1.6,-0.6000000000000001,3.3,NA,NA,NA,NA,NA,NA,NA,61,3,2,56,3.89,1.31,0,0,0,0,0,0,0,0,NA,148
Adrian Del Castillo,ARI,NA,NA,NA,1.2,1.9,-0.7,3,NA,172,5,18,20,1,0.231,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,149
Adrian Houser,SFG,NA,NA,NA,0.9,1.6,-0.7000000000000001,3,NA,NA,NA,NA,NA,NA,NA,147,8,0,105,4.23,1.38,0,0,0,0,0,0,0,0,NA,150
Robby Snelling,MIA,NA,NA,NA,0.9,1.6,-0.7000000000000001,3,NA,NA,NA,NA,NA,NA,NA,86,5,0,74,4.03,1.34,0,0,0,0,0,0,0,0,NA,151
Janson Junk,MIA,NA,NA,NA,0.9,1.6,-0.7000000000000001,3,NA,NA,NA,NA,NA,NA,NA,95,5,0,69,4.34,1.27,0,0,0,0,0,0,0,0,NA,152
Brock Burke,CIN,NA,NA,NA,0.9,1.6,-0.7000000000000001,3,NA,NA,NA,NA,NA,NA,NA,62,4,1,58,4.17,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Ryne Stanek,STL,NA,NA,NA,0.9,1.6,-0.7000000000000001,3,NA,NA,NA,NA,NA,NA,NA,60,4,2,61,4.07,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
PJ Poulin,WSN,NA,NA,NA,0.9,1.6,-0.7000000000000001,3,NA,NA,NA,NA,NA,NA,NA,61,4,2,59,4.08,1.35,0,0,0,0,0,0,0,0,NA,155
Mauricio Dubon,ATL,NA,NA,NA,2.5,3.3,-0.7999999999999998,2.7,NA,336,5,37,33,3,0.258,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,NA,156
Griffin Conine,MIA,Melonheads,2,1,2.5,3.3,-0.7999999999999998,2.7,1.7,385,13,42,45,1,0.222,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,157
Heriberto Hernandez,MIA,Hoosiers,2,1,2.5,3.3,-0.7999999999999998,2.7,1.7,350,12,40,42,3,0.223,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,158
Drew Millas,WSN,NA,NA,NA,1.1,1.9,-0.7999999999999998,2.7,NA,141,2,15,14,3,0.248,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,159
Brad Lord,WSN,NA,NA,NA,0.8,1.6,-0.8,2.7,NA,NA,NA,NA,NA,NA,NA,147,8,0,111,4.46,1.36,0,0,0,0,0,0,0,0,NA,160
Hurston Waldrep,ATL,Free Birds,2,1,0.8,1.6,-0.8,2.7,1.7,NA,NA,NA,NA,NA,NA,123,8,0,109,4.29,1.41,0,0,0,0,0,0,0,0,NA,161
Jordan Wicks,CHC,NA,NA,NA,0.8,1.6,-0.8,2.7,NA,NA,NA,NA,NA,NA,NA,44,3,0,40,3.86,1.27,0,0,0,0,0,0,0,0,NA,162
Brad Keller,PHI,Big Red Machine,2,1,0.8,1.6,-0.8,2.7,1.7,NA,NA,NA,NA,NA,NA,68,4,2,61,4.19,1.35,0,0,0,0,0,0,0,0,NA,163
Brad Keller,PHI,Big Red Machine,2,1,0.8,1.6,-0.8,2.7,1.7,NA,NA,NA,NA,NA,NA,68,4,2,61,4.19,1.35,0,0,0,0,0,0,0,0,NA,164
Hoby Milner,CHC,NA,NA,NA,0.8,1.6,-0.8,2.7,NA,NA,NA,NA,NA,NA,NA,60,3,0,50,3.91,1.29,0,0,0,0,0,0,0,0,NA,165
Isaac Mattson,PIT,NA,NA,NA,0.8,1.6,-0.8,2.7,NA,NA,NA,NA,NA,NA,NA,64,4,2,60,4.26,1.38,0,0,0,0,0,0,0,0,NA,166
Brock Stewart,LAD,NA,NA,NA,0.8,1.6,-0.8,2.7,NA,NA,NA,NA,NA,NA,NA,38,2,0,44,3.81,1.24,0,0,0,0,0,0,0,0,NA,167
David Morgan,SDP,NA,NA,NA,0.8,1.6,-0.8,2.7,NA,NA,NA,NA,NA,NA,NA,62,3,0,63,4.04,1.3,0,0,0,0,0,0,0,0,NA,168
Tyler Austin,CHC,NA,NA,NA,2.4,3.3,-0.8999999999999999,2.4,NA,252,10,31,35,1,0.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
Otto Kemp,PHI,NA,NA,NA,2.4,3.3,-0.8999999999999999,2.4,NA,273,8,33,35,5,0.234,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,1,1,NA,170
Bryce Elder,ATL,Hoosiers,2,1,0.7,1.6,-0.9000000000000001,2.4,1.4,NA,NA,NA,NA,NA,NA,110,6,0,92,4.42,1.35,0,0,0,0,0,0,0,0,NA,171
Brandon Sproat,MIL,Free Birds,2,1,0.7,1.6,-0.9000000000000001,2.4,1.4,NA,NA,NA,NA,NA,NA,69,4,0,59,4.19,1.33,0,0,0,0,0,0,0,0,NA,172
Richard Fitts,STL,NA,NA,NA,0.7,1.6,-0.9000000000000001,2.4,NA,NA,NA,NA,NA,NA,NA,104,5,0,79,4.38,1.32,0,0,0,0,0,0,0,0,NA,173
Pierce Johnson,CIN,NA,NA,NA,0.7,1.6,-0.9000000000000001,2.4,NA,NA,NA,NA,NA,NA,NA,61,3,1,67,4.25,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,174
Tobias Myers,NYM,NA,NA,NA,0.7,1.6,-0.9000000000000001,2.4,NA,NA,NA,NA,NA,NA,NA,59,3,0,49,4.19,1.29,0,0,0,0,0,0,0,0,NA,175
Wandy Peralta,SDP,NA,NA,NA,0.7,1.6,-0.9000000000000001,2.4,NA,NA,NA,NA,NA,NA,NA,59,3,0,52,3.84,1.34,0,0,0,0,0,0,0,0,NA,176
Jason Foley,SFG,NA,NA,NA,0.7,1.6,-0.9000000000000001,2.4,NA,NA,NA,NA,NA,NA,NA,34,2,0,29,3.43,1.23,0,0,0,0,0,0,0,0,NA,177
Evan Phillips,LAD,Free Birds,2,1,0.7,1.6,-0.9000000000000001,2.4,1.4,NA,NA,NA,NA,NA,NA,28,2,0,30,3.45,1.16,0,0,0,0,0,0,0,0,NA,178
Joel Payamps,ATL,NA,NA,NA,0.7,1.6,-0.9000000000000001,2.4,NA,NA,NA,NA,NA,NA,NA,53,3,0,48,4.07,1.29,0,0,0,0,0,0,0,0,NA,179
Jack Dreyer,LAD,NA,NA,NA,0.7,1.6,-0.9000000000000001,2.4,NA,NA,NA,NA,NA,NA,NA,52,3,0,52,4.13,1.28,0,0,0,0,0,0,0,0,NA,180
Grant Anderson,MIL,NA,NA,NA,0.7,1.6,-0.9000000000000001,2.4,NA,NA,NA,NA,NA,NA,NA,56,3,0,57,4.12,1.3,0,0,0,0,0,0,0,0,NA,181
Porter Hodge,CHC,NA,NA,NA,0.7,1.6,-0.9000000000000001,2.4,NA,NA,NA,NA,NA,NA,NA,50,3,0,56,4.02,1.35,0,0,0,0,0,0,0,0,NA,182
Josh White,MIA,NA,NA,NA,0.7,1.6,-0.9000000000000001,2.4,NA,NA,NA,NA,NA,NA,NA,47,3,0,47,3.96,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,183
Dylan Dodd,ATL,NA,NA,NA,0.7,1.6,-0.9000000000000001,2.4,NA,NA,NA,NA,NA,NA,NA,46,3,0,39,4,1.27,0,0,0,0,0,0,0,0,NA,184
Joel Peguero,SFG,NA,NA,NA,0.7,1.6,-0.9000000000000001,2.4,NA,NA,NA,NA,NA,NA,NA,64,3,6,50,4.4,1.43,0,0,0,0,0,0,0,0,NA,185
Jose Tena,WSN,NA,NA,NA,2.3,3.3,-1,2.1,NA,266,5,28,27,8,0.253,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,NA,186
Carlos Santana,ARI,Melonheads,2,9,2.3,3.3,-1,2.1,-6.9,357,10,38,40,3,0.224,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,NA,187
Andre Pallante,STL,NA,NA,NA,0.6,1.6,-1,2.1,NA,NA,NA,NA,NA,NA,NA,143,8,0,100,4.25,1.42,0,0,0,0,0,0,0,0,NA,188
