team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
FREE BIRDS,23,253,9.15876687853502,7138,6327,1595,221,865,846,131,0.2520941994626205,1439,87,0,1400,631.382648888889,1787.3286,3.9488838359972207,1.242062960389159,1,3,2,3,5,10,1,10,4,6,14,31,45,8,45
ERIE LAKERS,23,212,8.244425781961647,7244,6438,1671,251,919,910,124,0.2595526561043802,975,53,57,903,445.5586622222222,1273.3840600000003,4.1128491897435895,1.3060349333333336,6,5,6,2,8,3,8,1,1,2,27,15,42,9,45
FREE AT LAST,22,234,8.370739327055128,7305,6402,1578,238,911,863,156,0.246485473289597,1245,76,2,1071,561.3803933333334,1626.20394,4.058171518072289,1.306187903614458,3,4,3,6,1,8,2,4,2,1,17,17,34,10,45
WESTSIDE MARAUDERS,23,263,11.168435275649625,7785,6936,1773,275,992,967,136,0.2556228373702422,1210,75,71,1231,520.6629566666666,1482.3952960000001,3.87269967768595,1.225120079338843,10,9,9,4,6,7,9,8,8,10,38,42,80,1,46
HOOSIERS,23,240,10.239403260501476,7947,7062,1771,258,996,968,220,0.2507788161993769,1129,70,38,1025,481.27390777777777,1413.4000500000002,3.83655019486271,1.2519043844109834,8,10,10,10,4,5,5,3,10,4,42,27,69,2,46
NATIONAL PASTIME,23,258,10.46200328509335,7800,7002,1802,256,956,940,146,0.2573550414167381,1187,76,52,1192,522.1464277777778,1479.50649,3.9589872367312555,1.2464250126368996,7,7,7,6,8,8,8,7,3,6,35,32,67,3,46
MELONHEADS,23,239,9.766337085127583,7426,6575,1646,253,936,909,161,0.2503422053231939,1310,81,0,1261,560.2088366666667,1615.9152100000001,3.848763,1.2335230610687025,6,4,5,7,3,9,2,9,9,9,25,38,63,4,46
BLUE SOCKS,23,262,10.156576514477091,7733,6968,1792,238,949,933,173,0.2571756601607348,1148,71,48,1168,500.03253777777786,1417.3855800000001,3.920115714285715,1.2346564285714288,4,5,6,8,7,6,6,5,4,8,30,29,59,5,46
LOUISVILLE SLUGGERS,23,206,10.587625205128688,7417,6674,1764,236,964,900,199,0.2643092598142044,1151,70,50,1121,499.63356,1462.77208,3.9067784882710686,1.2708706168549087,3,8,3,9,10,5,7,4,6,2,33,24,57,6,46
BIG RED MACHINE,23,212,9.809619582999375,7678,6811,1702,270,951,954,124,0.24988988401115841,1238,75,27,1172,535.9147233333333,1557.4153900000001,3.895987487883683,1.2580092003231018,9,6,8,3,2,7,4,6,7,3,28,27,55,7,46
FREE BIRDS,23,260,9.299682901740805,7222,6420,1630,228,872,873,116,0.2538940809968847,1417,88,0,1395,615.3403011111112,1767.73214,3.908301136203247,1.2475173888496824,2,2,2,1,5,10,2,10,5,5,12,32,44,8,46
ERIE LAKERS,23,204,8.169704210236267,7216,6439,1694,242,911,903,118,0.26308432986488584,1085,62,22,982,508.00849111111114,1413.33667,4.213895317972351,1.3026144423963133,5,3,4,2,9,4,3,2,1,1,23,11,34,9,46
FREE AT LAST,22,247,8.283383897495765,6990,6115,1494,227,859,821,145,0.24431725265739984,957,58,105,947,421.21101444444446,1192.0455399999998,3.9612321107628006,1.2456066248693833,1,1,1,5,1,3,10,1,2,7,9,23,32,10,46
WESTSIDE MARAUDERS,23,270,11.107302705885967,7652,6775,1726,266,985,944,153,0.25476014760147603,1352,86,32,1334,577.4921566666666,1676.4736660000003,3.844252522189348,1.2399953150887577,8,8,8,7,5,10,5,10,8,6,36,39,75,1,47
LOUISVILLE SLUGGERS,23,217,10.843171068536973,8057,7264,1903,264,1015,981,174,0.261976872246696,1068,65,52,1019,458.20611111111117,1321.3246599999998,3.861287453183521,1.237195374531835,7,10,9,8,10,2,7,1,7,7,44,24,68,2,47
MELONHEADS,23,238,9.939185686198883,7416,6572,1654,252,942,911,179,0.2516737674984784,1314,79,0,1282,572.2919366666667,1610.0201900000002,3.9198077853881284,1.2252817275494674,6,7,6,9,3,8,2,9,5,10,31,34,65,3,47
