team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
BLUE SOCKS,23,221,10.440715706963125,7526,6783,1736,239,919,917,161,0.25593395252837975,1213,75,56,1221,506.49278777777783,1458.97986,3.7579844105523503,1.2027863643858203,5,2,7,7,6,7,8,8,9,10,27,42,69,3,19
MELONHEADS,23,223,10.369026547929748,7478,6653,1684,251,951,922,171,0.2531188937321509,1295,82,17,1275,556.0365488888889,1590.9993299999999,3.864346671814672,1.2285709111969112,7,8,8,8,4,9,2,9,7,7,35,34,69,3,19
HOOSIERS,23,190,10.28955770214141,8017,7101,1775,266,1008,975,217,0.24996479369102942,1134,74,22,1034,473.8722366666667,1436.4354599999997,3.7608907671957676,1.2666979365079363,10,10,10,10,2,6,4,3,8,3,42,24,66,4,19
NATIONAL PASTIME,23,190,10.433875808321618,7755,6993,1810,252,945,941,156,0.25883025883025884,1201,74,52,1166,533.44278,1498.8003399999998,3.9974896086594507,1.2479603164029973,8,7,9,6,8,6,7,6,3,6,38,28,66,4,19
BIG RED MACHINE,23,151,9.762962548060711,7601,6759,1695,265,938,941,112,0.2507767421216156,1266,75,27,1180,559.1229511111111,1597.1737199999998,3.9748077093206953,1.2615906161137438,9,6,9,2,3,7,5,7,4,5,29,28,57,5,19
FREE BIRDS,23,188,9.126379995979914,7145,6325,1602,221,872,853,130,0.2532806324110672,1215,76,62,1221,534.0530177777778,1537.49699,3.955948279835391,1.2654296213991771,3,1,3,4,5,8,9,8,5,4,16,34,50,6,19
FREE AT LAST,22,151,8.173066430502956,7424,6500,1606,235,923,862,147,0.24707692307692308,1116,63,21,1057,510.95331555555566,1421.8281299999999,4.120591254480288,1.2740395430107525,4,4,4,5,1,5,3,5,2,2,18,17,35,7,19
ERIE LAKERS,23,168,7.956297986858573,7381,6539,1688,239,922,895,114,0.2581434470102462,1150,63,16,991,546.3285277777778,1526.2745,4.275614565217391,1.3271952173913044,5,3,5,3,7,5,1,2,1,1,23,10,33,8,19
WESTSIDE MARAUDERS,23,213,10.943147661676843,7435,6601,1678,267,945,937,139,0.25420390849871233,1190,75,70,1242,496.72665222222213,1425.844892,3.75675619327731,1.1981889848739495,10,7,8,5,5,5,8,7,10,10,35,40,75,1,20
LOUISVILLE SLUGGERS,23,165,10.750812870252373,7499,6741,1764,249,962,916,179,0.2616822429906542,1151,76,50,1143,486.59751555555556,1439.5664899999997,3.8048459079061683,1.2507093744569937,6,9,6,9,10,6,7,5,9,6,40,33,73,2,20
NATIONAL PASTIME,23,190,10.508535828473278,7678,6901,1784,251,948,927,154,0.25851325894797855,1109,70,84,1110,483.2913444444444,1370.87042,3.9221119026149682,1.236132028854824,7,8,7,7,8,4,10,4,5,8,37,31,68,3,20
MELONHEADS,23,223,10.29578185242581,7405,6591,1656,254,938,916,179,0.25125170687300863,1372,85,0,1308,599.606138888889,1665.62773,3.9332764212827995,1.2140143804664723,8,6,6,9,2,10,2,10,4,9,31,35,66,4,20
BLUE SOCKS,23,221,10.329924841737498,7851,7127,1831,233,938,943,171,0.2569103409569244,1293,80,29,1239,561.9167066666666,1638.34609,3.9112531786542926,1.2670890100541377,2,6,9,8,7,9,5,6,7,4,32,31,63,5,20
HOOSIERS,23,190,10.252436764023505,8061,7128,1793,266,1032,975,211,0.2515432098765432,1125,70,30,1022,489.06527555555556,1437.5249,3.9125222044444445,1.277799911111111,9,10,10,10,3,4,6,2,6,3,42,21,63,5,20
BIG RED MACHINE,23,151,9.730629576914714,7364,6549,1659,241,913,887,114,0.2533211177278974,1328,79,27,1255,563.2371033333333,1644.01016,3.8171189231927705,1.2379594578313253,5,5,4,2,4,8,4,8,8,7,20,35,55,6,20
FREE BIRDS,23,188,9.265285996331317,7256,6435,1638,234,880,890,125,0.2545454545454545,1256,78,27,1266,561.0733577777778,1574.87001,4.020430111464968,1.2538773964968153,3,2,5,4,6,7,4,9,3,5,20,28,48,7,20
ERIE LAKERS,23,168,8.106419913937652,7185,6397,1661,233,896,875,120,0.25965296232609036,1173,68,2,1083,553.5290755555557,1513.9240999999997,4.247026155157717,1.290642881500426,2,3,3,3,9,3,3,3,1,2,20,12,32,8,20
FREE AT LAST,22,151,8.164523504085182,7319,6413,1575,238,905,864,151,0.2455948853890535,926,51,82,902,415.2817800000001,1201.2393200000001,4.036216004319655,1.2972346868250542,4,4,2,6,1,2,9,1,2,1,17,15,32,8,20
WESTSIDE MARAUDERS,23,213,11.095650291929804,7638,6812,1749,259,962,949,137,0.2567527891955373,1351,84,32,1343,577.0856022222222,1646.989572,3.844389652109548,1.219089246484086,8,8,8,5,7,10,6,10,8,9,36,43,79,1,21
MELONHEADS,23,223,10.401202423468098,7409,6582,1655,245,935,903,180,0.25144333029474325,1207,79,41,1205,509.23094000000003,1459.55584,3.797082402651202,1.209242618061309,6,5,4,8,4,8,7,7,9,10,27,41,68,2,21
BLUE SOCKS,23,221,10.443828883262421,7544,6821,1745,238,918,920,160,0.2558275912622783,1334,82,29,1298,560.2744244444445,1647.6548599999999,3.7799623838080967,1.2351235832083958,4,4,6,7,5,9,5,9,10,7,26,40,66,3,21
LOUISVILLE SLUGGERS,23,165,10.651687520049817,7536,6789,1787,244,978,918,186,0.263219914567683,1083,68,55,1143,468.8892022222222,1359.58504,3.8965861680517078,1.2553878485687904,5,9,5,9,10,3,8,5,7,5,38,28,66,3,21
NATIONAL PASTIME,23,190,10.46107209453466,7793,7022,1810,254,949,945,155,0.2577613215608089,1140,72,63,1121,500.7751044444444,1393.74599,3.9534876666666667,1.222584201754386,7,6,7,6,8,5,9,4,6,8,34,32,66,3,21
HOOSIERS,23,190,10.256463845829806,8101,7171,1799,266,1021,979,219,0.2508715660298424,1268,77,0,1094,564.33662,1639.6580600000002,4.005543832807572,1.2931057255520506,9,10,10,10,3,7,2,2,3,1,42,15,57,4,21
BIG RED MACHINE,23,151,9.78855804782897,7720,6840,1704,273,959,955,123,0.24912280701754386,1263,75,27,1179,557.2023333333334,1622.47453,3.970562945368172,1.2846195803642122,10,7,9,2,2,6,4,6,5,2,30,23,53,5,21
FREE BIRDS,23,188,9.28445851495728,7526,6674,1713,225,911,883,137,0.25666766556787535,1272,77,22,1271,577.7064988888889,1603.78408,4.087545982704402,1.2608365408805031,1,3,3,5,6,7,3,8,1,4,18,23,41,6,21
ERIE LAKERS,23,168,8.100901626944017,7153,6384,1662,236,897,879,126,0.26033834586466165,785,45,112,781,349.12114,1008.1489,4.002662751592357,1.2842661146496817,3,2,2,3,9,2,10,1,4,3,19,20,39,7,21
FREE AT LAST,22,151,8.079096400492798,6969,6110,1503,229,860,831,135,0.24599018003273324,1180,71,32,1099,525.9305044444445,1479.58248,4.011334355932204,1.2538834576271187,2,1,1,4,1,4,6,3,2,6,9,21,30,8,21
