team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
FREE BIRDS,23,242,9.07370037997939,7277,6441,1653,217,877,864,132,0.25663716814159293,1378,83,0,1346,616.1384511111112,1741.0946800000002,4.024126313497823,1.263493962264151,1,1,3,3,6,9,2,10,3,4,14,28,42,8,49
ERIE LAKERS,23,204,8.072437902395789,7340,6527,1695,248,922,917,116,0.25969051631683776,964,55,55,876,451.4024088888889,1270.64532,4.214337842323651,1.3180968049792532,5,3,5,2,9,2,8,1,1,1,24,13,37,9,49
FREE AT LAST,22,228,8.134770954804816,7270,6380,1578,230,910,859,165,0.24733542319749216,1099,64,30,1023,508.0607655555556,1416.59175,4.160643212010919,1.2889824840764332,2,2,2,7,1,3,5,2,2,2,14,14,28,10,49
HOOSIERS,23,237,10.197148576737467,7606,6749,1693,254,970,939,219,0.2508519780708253,1213,77,2,1210,512.3004722222222,1485.2851999999998,3.8010752267106347,1.2244725474031326,8,9,10,10,4,8,1,7,8,8,41,32,73,1,50
LOUISVILLE SLUGGERS,23,213,10.641183676881079,7737,6951,1821,250,990,934,182,0.2619766940008632,989,62,82,1033,432.78848,1214.0550999999998,3.9384189282103135,1.2275582406471182,6,10,9,9,10,5,10,3,5,6,44,29,73,1,50
BLUE SOCKS,23,253,10.47073343321891,7757,7003,1786,238,941,925,167,0.2550335570469799,1308,84,29,1280,547.0163666666667,1599.16178,3.7638740825688077,1.222600749235474,4,8,6,8,6,10,3,9,9,9,32,40,72,2,50
WESTSIDE MARAUDERS,23,269,10.979134383327166,7439,6687,1742,240,933,913,158,0.2605054583520263,1343,84,32,1341,572.2541111111111,1645.2679260000002,3.8349121370067016,1.2250691928518245,5,6,5,6,9,10,4,10,7,7,31,38,69,3,50
MELONHEADS,23,246,9.873422428024108,7332,6481,1620,254,931,905,160,0.2499614257059096,1160,72,41,1198,482.0787011111111,1403.35544,3.7402657844827587,1.2097891724137932,8,5,4,7,3,6,5,6,10,10,27,37,64,4,50
NATIONAL PASTIME,23,250,10.42541639262687,7604,6855,1765,253,933,930,149,0.2574762946754194,1227,77,52,1187,543.9975777777778,1528.83198,3.9902022819885903,1.2459918337408313,7,6,8,5,7,8,8,5,4,5,33,30,63,5,50
BIG RED MACHINE,23,208,9.7485577007796,7535,6672,1659,268,940,927,118,0.24865107913669066,1194,73,59,1138,518.0865222222222,1499.35085,3.9051747906197654,1.255737730318258,10,7,7,2,2,7,9,4,6,3,28,29,57,6,50
ERIE LAKERS,23,210,8.266505333039557,7321,6511,1693,258,929,934,110,0.26002150207341423,992,59,42,875,446.7614611111111,1309.3326100000002,4.0532793850806454,1.3198917439516131,9,4,9,1,8,3,6,1,2,2,31,14,45,7,50
FREE BIRDS,23,244,9.025386505958283,7249,6402,1630,220,875,854,135,0.25460793502030615,1308,79,27,1263,582.1890044444445,1640.3093000000001,4.005887645259939,1.2540590978593273,2,2,2,3,5,9,2,8,3,4,14,26,40,8,50
FREE AT LAST,22,211,8.038036419285321,7382,6481,1605,233,915,872,145,0.2476469680604845,1118,61,47,982,533.4725311111112,1500.5332199999998,4.294501592128802,1.3421585152057243,3,3,3,4,1,4,7,2,1,1,14,15,29,9,50
